ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	17,7	0,0	24,29	7,2	245	149	0.00011159700749	0.0018660402270119913	1.0,1.0	0.676,0.898	0.213
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	20,17	3,0	22,10	0,0	298	149	0.160216628219	0.4364482501018443	0.769,1.0	1.0,1.0	-0.115
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	17,17	2,0	27,15	4,0	298	149	0.243703446282	0.5801293376375924	0.81,1.0	0.771,1.0	0.02
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	16,21	1,2	25,18	5,2	298	149	0.252050707215	0.5934577087635421	0.889,0.84	0.714,0.818	0.099
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	14,28	4,0	18,19	10,4	298	149	0.0317305630868	0.13556788909555365	0.636,1.0	0.474,0.704	0.229
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	11,11	13,21	13,18	16,13	298	149	0.210740459236	0.5274094009621484	0.297,0.208	0.289,0.409	-0.096
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872	22	9,8	1,2	13,17	0,0	298	149	0.0569324747789	0.20797276190378258	0.818,0.667	1.0,1.0	-0.258
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	7,2	0,0	5,2	0,2	248	149	0.33702651351	0.717130177113902	1.0,1.0	1.0,0.375	0.312
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953	54	1,0	2,0	0,0	0,2	298	149	1	1.0	0.2,NA	NA,0.0	0.2
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	36,48	5,11	65,33	13,6	246	149	0.919731108725	1.0	0.813,0.726	0.752,0.769	0.009
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	48,91	471,494	54,48	641,479	296	149	0.00876493158763	0.05212065534170538	0.049,0.085	0.041,0.048	0.023
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	193,202	907,1017	222,181	1474,1033	298	149	0.0607881412977	0.21815611202659857	0.096,0.09	0.07,0.081	0.017
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	208,213	2,3	220,168	0,1	298	149	0.837710651648	1.0	0.981,0.973	1.0,0.988	-0.017
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	148,191	765,907	128,104	1029,695	298	149	0.00319181724155	0.024491121534654724	0.088,0.095	0.059,0.07	0.027
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	16,42	448,484	34,32	939,718	298	149	0.0468950289729	0.17927801162224494	0.018,0.042	0.018,0.022	0.01
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	12,37	2,3	26,19	7,8	298	149	0.0165990880877	0.08465310915441067	0.75,0.86	0.65,0.543	0.208
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	32,46	460,497	43,31	886,727	298	149	0.00371767820997	0.027439660069290293	0.034,0.044	0.024,0.021	0.017
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	0,1	1,7	3,0	0,0	298	149	1	1.0	0.0,0.067	1.0,NA	-0.967
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	1,4	0,2	0,0	2,0	298	149	1	1.0	1.0,0.5	0.0,NA	0.75
