ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	18,8	0,4	17,7	0,0	245	149	0.0136535869848	0.21059906093966946	1.0,0.549	1.0,1.0	-0.226
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	60,27	2,0	52,82	3,0	1003	149	0.658276235658	1.0	0.817,1.0	0.72,1.0	0.048
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	52,27	3,0	46,81	2,0	963	149	0.282517295332	0.8927675286354808	0.728,1.0	0.781,1.0	-0.027
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	51,26	2,0	44,81	1,2	934	149	0.361024702006	0.9596984491070266	0.803,1.0	0.875,0.866	0.031
17	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39377	39873	40028	17	35,16	0,4	31,61	0,0	645	149	0.00671718608834	0.1354830925716577	1.0,0.48	1.0,1.0	-0.26
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	44,25	0,2	37,79	4,0	819	149	0.158474741011	0.7090962664743644	1.0,0.695	0.627,1.0	0.034
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	15,21	24,19	30,36	13,21	762	149	0.00744665326552	0.14505497937994583	0.109,0.178	0.311,0.251	-0.138
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872	22	13,18	2,0	26,32	1,2	735	149	0.472261212536	1.0	0.569,1.0	0.841,0.764	-0.018
34	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	150087	149088	149164	149744	150087	34	4,2	0,2	3,7	0,0	729	149	0.0622882118859	0.47172070731460586	1.0,0.17	1.0,1.0	-0.415
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	1,4	1,0	7,2	0,0	248	149	1	1.0	0.375,1.0	1.0,1.0	-0.312
54	"ENSG00000269335.7"	"IKBKG"	chrX	+	154561687	154562953	154561687	154561784	154562809	154562953	54	0,1	3,1	1,0	2,0	1174	149	1	1.0	0.0,0.113	0.06,NA	-0.003
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	34,37	15,4	36,48	5,11	246	149	0.555470413838	1.0	0.579,0.849	0.813,0.726	-0.055
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	86,71	490,498	48,91	471,494	296	149	0.499903332019	1.0	0.081,0.067	0.049,0.085	0.007
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	751,660	1137,1090	549,702	907,1017	850	149	0.847979261946	1.0	0.104,0.096	0.096,0.108	-0.002
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	1071,969	5,1	801,1028	2,3	1522	149	0.87910924356	1.0	0.954,0.99	0.975,0.971	-0.001
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	335,333	981,1007	267,341	765,907	688	149	0.533397769489	1.0	0.069,0.067	0.07,0.075	-0.005
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	117,90	412,443	79,127	448,484	1372	149	0.525000198406	1.0	0.03,0.022	0.019,0.028	0.002
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	119,96	2,0	81,139	2,3	1617	149	0.0546687329632	0.4424462644336194	0.846,1.0	0.789,0.81	0.123
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	23,36	439,454	32,46	460,497	349	149	0.298538516766	0.9074614128480435	0.022,0.033	0.029,0.038	-0.006
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	19,14	0,2	4,4	1,7	1374	149	0.00148209470397	0.054496852759730534	1.0,0.432	0.303,0.058	0.535
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	43,31	1,1	32,22	0,0	204	149	0.31942278202	0.9205711684102234	0.969,0.958	1.0,1.0	-0.036
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	8,8	3,0	4,10	0,2	1827	149	0.903233407789	1.0	0.179,1.0	1.0,0.29	-0.055
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	80	32,28	11,8	19,25	1,2	260	149	0.00165037458662	0.05741718048734297	0.625,0.667	0.916,0.878	-0.251
82	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	82	8,5	2,2	6,13	5,1	1220	149	0.829024487787	1.0	0.328,0.234	0.128,0.614	-0.09
