ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39059	38780	39019	39873	40028	32	1,1	0,2	8,1	3,0	189	149	0.299138532879	1.0	1.0,0.283	0.678,1.0	-0.198
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39019	39873	40028	33	10,8	0,2	9,3	3,0	218	149	0.319821957819	1.0	1.0,0.732	0.672,1.0	0.03
34	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39019	39873	40028	34	21,23	0,2	21,21	3,0	507	149	0.420233643511	1.0	1.0,0.772	0.673,1.0	0.049
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39088	38780	39059	39873	40028	35	9,7	0,0	3,2	2,0	178	149	0.509513424406	1.0	1.0,1.0	0.557,1.0	0.222
36	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39059	39873	40028	36	20,22	0,0	15,20	2,0	467	149	0.669335769313	1.0	1.0,1.0	0.705,1.0	0.147
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	39377	38780	39088	39873	40028	37	16,19	5,4	13,20	1,2	438	149	0.0667627279009	0.5008513665663595	0.521,0.618	0.816,0.773	-0.225
38	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39019	39873	40028	38	7,11	0,2	11,2	3,0	292	149	0.0932976199545	0.6009371951951465	1.0,0.737	0.652,1.0	0.042
39	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39019	39873	40028	39	7,12	0,2	14,3	3,0	331	149	0.103687597799	0.6327093288340893	1.0,0.73	0.677,1.0	0.026
40	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39873	40028	40	7,16	0,2	19,3	3,0	333	149	0.446166875217	1.0	1.0,0.782	0.739,1.0	0.022
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39059	39873	40028	41	6,10	0,0	5,1	2,0	252	149	0.591218093192	1.0	1.0,1.0	0.596,1.0	0.202
42	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39059	39873	40028	42	6,11	0,0	8,2	2,0	291	149	0.706541705449	1.0	1.0,1.0	0.672,1.0	0.164
43	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39059	39873	40028	43	6,15	0,0	13,2	2,0	293	149	0.804071240739	1.0	1.0,1.0	0.768,1.0	0.116
44	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39162	38785	39088	39873	40028	44	2,7	5,4	3,1	1,2	223	149	0.863662612227	1.0	0.211,0.539	0.667,0.25	-0.084
45	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39201	38785	39088	39873	40028	45	2,8	5,4	6,2	1,2	262	149	0.273403443144	1.0	0.185,0.532	0.773,0.363	-0.21
46	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39088	39873	40028	46	2,12	5,4	11,2	1,2	264	149	0.207414867536	0.8956197242362074	0.184,0.629	0.861,0.361	-0.205
