ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97367	97448	97371	97448	95173	95232	33	53,51	0,0	35,20	0,2	153	149	0.732787809966	1.0	1.0,1.0	1.0,0.907	0.046
79	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	79	2,1	1,3	2,0	2,1	205	149	0.307413368921	0.9346894853760799	0.592,0.195	0.421,0.0	0.183
82	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350908	154351696	154349648	154349867	82	1627,1508	2,0	1673,1194	0,0	298	149	1	1.0	0.998,1.0	1.0,1.0	-0.001
83	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	83	1226,1181	5,1	1526,1065	0,1	298	149	1	1.0	0.992,0.998	1.0,0.998	-0.004
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	84	0,2	169,168	0,2	165,83	298	149	1	1.0	0.0,0.006	0.0,0.012	-0.003
85	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	85	414,446	2,0	945,720	7,8	298	149	0.167542411993	0.6418100914318269	0.99,1.0	0.985,0.978	0.013
86	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	86	459,437	13,4	803,583	10,10	167	149	0.519268347057	1.0	0.969,0.99	0.986,0.981	-0.004
88	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	88	26,33	10,7	46,33	8,6	153	149	0.249871811289	0.8192262349093105	0.717,0.821	0.848,0.843	-0.077
89	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	89	0,0	137,102	4,2	267,148	190	149	1	1.0	0.0,0.0	0.012,0.01	-0.011
93	"ENSG00000197620.11"	"EOLA1"	chrX	+	149542018	149542085	149542018	149542066	149545367	149545500	93	20,14	23,38	23,4	64,44	168	149	0.0275735468078	0.19094995930917572	0.435,0.246	0.242,0.075	0.182
