ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
31	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97363	97414	97367	97414	95173	95232	31	0,0	35,20	0,2,0	55,45,33	153	149	1	1.0	0.0,0.0	0.0,0.041,0.0	-0.014
32	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97363	97448	97371	97448	95173	95232	32	0,0	0,2	0,2,0	4,0,0	157	149	1	1.0	NA,0.0	0.0,1.0,NA	-0.5
33	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	97367	97448	97371	97448	95173	95232	33	35,20	0,2	55,45,33	4,0,0	153	149	0.859840676952	1.0	1.0,0.907	0.931,1.0,1.0	-0.023
80	"ENSG00000269335.7"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784	80	2,0	2,1	8,6,6	2,2,9	205	149	0.0474084366844	0.322032580823488	0.421,0.0	0.744,0.686,0.326	-0.375
83	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154351580	154351696	154350030	154350207	83	1526,1065	0,1	2212,1656,1329	0,2,0	298	149	1	1.0	1.0,0.998	1.0,0.998,1.0	-0.0
84	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154366023	154366224	154365348	154365486	84	0,2	165,83	0,0,0	327,280,242	298	149	1	1.0	0.0,0.012	0.0,0.0,0.0	0.006
85	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	85	945,720	7,8	1133,949,668	3,1,0	298	149	0.171032765802	0.708009321923847	0.985,0.978	0.995,0.998,1.0	-0.016
86	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	86	803,583	10,10	888,750,542	15,14,7	167	149	0.648009545902	1.0	0.986,0.981	0.981,0.98,0.986	0.001
88	"ENSG00000262919.8"	"CCNQ"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	88	46,33	8,6	81,42,28	10,13,7	153	149	0.671567008777	1.0	0.848,0.843	0.887,0.759,0.796	0.031
89	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959937	152959698	152959896	152963838	152963949	89	4,2	267,148	4,1,0	166,178,121	190	149	1	1.0	0.012,0.01	0.019,0.004,0.0	0.003
93	"ENSG00000197620.11"	"EOLA1"	chrX	+	149542018	149542085	149542018	149542066	149545367	149545500	93	23,4	64,44	40,25,29	67,80,40	168	149	0.0145927754261	0.14880487414676483	0.242,0.075	0.346,0.217,0.391	-0.16
94	"ENSG00000241489.8"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149500948	149501037	94	9,7	2,4	8,12,3	11,7,11	298	149	0.0367596583565	0.2682306320700859	0.692,0.467	0.267,0.462,0.12	0.296
105	"ENSG00000125676.20"	"THOC2"	chrX	-	123620374	123620965	123620906	123620965	123619400	123619436	105	19,21	216,115	20,12,10	237,218,174	298	149	0.014139247141	0.14552128737954823	0.042,0.084	0.04,0.027,0.028	0.031
106	"ENSG00000125676.20"	"THOC2"	chrX	-	123706853	123706949	123706857	123706949	123703453	123703505	106	0,2	83,48	0,0,0	127,118,61	153	149	1	1.0	0.0,0.039	0.0,0.0,0.0	0.019
107	"ENSG00000101901.13"	"ALG13"	chrX	+	111681169	111681424	111681169	111681299	111682131	111682294	107	5,12	42,26	8,15,3	45,39,31	274	149	0.756129404614	1.0	0.061,0.201	0.088,0.173,0.05	0.027
108	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682294	111682131	111682235	111684964	111685103	108	103,81	2,0	110,128,66	3,6,1	208	149	0.0438349321127	0.30496705097401716	0.974,1.0	0.963,0.939,0.979	0.027
109	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682235	111684964	111685103	109	26,23	2,0	39,44,22	3,6,1	214	149	0.0515991317547	0.34029012574679474	0.901,1.0	0.901,0.836,0.939	0.058
110	"ENSG00000101901.13"	"ALG13"	chrX	+	111682131	111682300	111682131	111682294	111684964	111685103	110	0,0	77,58	2,1,2	73,85,46	155	149	0.49310480986	1.0	0.0,0.0	0.026,0.011,0.04	-0.026
114	"ENSG00000172465.14"	"TCEAL1"	chrX	+	103629493	103629573	103629493	103629561	103629884	103630953	114	10,23	62,34	13,20,13	75,72,58	161	149	0.269882276172	0.9195441712527059	0.13,0.385	0.138,0.205,0.172	0.086
115	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103586218	103586301	103586218	103586291	103586648	103587518	115	10,11	897,696	15,11,4	1009,806,554	159	149	0.894422226253	1.0	0.01,0.015	0.014,0.013,0.007	0.001
119	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486098	101486022	101486092	101487192	101487272	119	4,1	17,7	2,2,2	18,13,10	155	149	0.561357909353	1.0	0.184,0.121	0.097,0.129,0.161	0.023
