ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	39203	38785	39019	39115	39203	12	11,13	0,2	24,29	7,2	245	149	0.0510421594855	0.16734520852447454	1.0,0.798	0.676,0.898	0.112
14	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39019	39873	40028	14	50,49	0,2	68,55	0,0	1003	149	0.872138573191	1.0	1.0,0.784	1.0,1.0	-0.108
15	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39059	39873	40028	15	49,48	0,0	67,53	4,0	963	149	0.0161492277846	0.06897897687995158	1.0,1.0	0.722,1.0	0.139
16	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40028	38780	39088	39873	40028	16	45,45	5,4	63,51	5,2	934	149	0.305101063342	0.6348546600956823	0.589,0.642	0.668,0.803	-0.12
20	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38785	40028	38785	39203	39873	40028	20	43,37	0,4	51,39	10,4	819	149	0.0454158226819	0.15358128027546697	1.0,0.627	0.481,0.639	0.253
21	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	38780	40872	38780	40028	40641	40872	21	16,36	9,25	47,30	16,13	762	149	0.0865427274513	0.2522946153421142	0.258,0.22	0.365,0.311	-0.099
22	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	39873	40872	39873	40055	40641	40872	22	16,32	1,4	45,28	0,0	735	149	9.12068766666e-05	0.0010412100349792188	0.764,0.619	1.0,1.0	-0.308
39	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	83299	84295	83299	84116	84215	84295	39	3,4	0,2	5,2	0,2	248	149	0.899393800909	1.0	1.0,0.546	1.0,0.375	0.086
55	"ENSG00000071889.17"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	55	41,44	11,3	65,33	13,6	246	149	0.61322218032	0.9911412068394897	0.693,0.899	0.752,0.769	0.036
56	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	56	73,60	482,403	54,48	641,479	296	149	0.00363922532584	0.020725865282667805	0.071,0.07	0.041,0.048	0.026
57	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154350908	154351696	57	717,709	923,811	649,450	1474,1033	850	149	1.95692518856e-08	7.504203937999809e-07	0.12,0.133	0.072,0.071	0.055
58	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351580	154351696	58	1153,1002	0,3	842,605	0,1	1522	149	0.927696959148	1.0	1.0,0.97	1.0,0.983	-0.007
59	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350908	154351041	154351580	154351696	59	454,301	875,668	207,164	1029,695	688	149	6.7158278938e-11	5.431961646442702e-09	0.101,0.089	0.042,0.049	0.05
61	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932070	153932431	61	128,108	373,334	97,104	939,718	1372	149	7.10143055471e-12	8.058533807083601e-10	0.036,0.034	0.011,0.015	0.022
62	"ENSG00000102030.16"	"NAA10"	chrX	-	153930762	153932431	153930762	153930847	153932315	153932431	62	132,107	1,5	111,104	7,8	1617	149	0.0374946486046	0.1316121021887229	0.924,0.664	0.594,0.545	0.225
63	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	63	32,21	400,388	43,31	886,727	349	149	0.0874282193311	0.25423839361588596	0.033,0.023	0.02,0.018	0.009
65	"ENSG00000185247.15"	"MAGEA11"	chrX	+	149713142	149714576	149713142	149713255	149714480	149714576	65	4,6	0,5	4,2	0,0	1374	149	0.000608184943424	0.004887981104495425	1.0,0.115	1.0,1.0	-0.443
77	"ENSG00000147224.13"	"PRPS1"	chrX	+	107649939	107651026	107649939	107650522	107650577	107651026	77	26,18	0,2	45,18	0,0	204	149	0.811636924674	1.0	1.0,0.868	1.0,1.0	-0.066
78	"ENSG00000166707.12"	"ZCCHC18"	chrX	+	104113433	104115842	104113433	104113573	104115251	104115842	78	14,12	0,2	14,2	2,0	1827	149	0.803792812207	1.0	1.0,0.329	0.363,1.0	-0.017
80	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103585858	103586107	103586218	103586291	80	24,27	3,1	18,14	15,6	260	149	4.55657608593e-05	0.0005952516835279344	0.821,0.939	0.407,0.572	0.39
82	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459	82	7,6	3,1	11,4	6,0	1220	149	0.81049049372	1.0	0.222,0.423	0.183,1.0	-0.269
83	"ENSG00000102384.14"	"CENPI"	chrX	+	101098203	101098539	101098203	101098248	101098443	101098539	83	4,6	7,7	13,4	17,15	344	149	0.786023347601	1.0	0.198,0.271	0.249,0.104	0.058
96	"ENSG00000050030.16"	"NEXMIF"	chrX	-	74732855	74744477	74732855	74739498	74740099	74744477	96	10,23	0,3	28,9	2,0	750	149	0.0872922125282	0.25399261073551654	1.0,0.604	0.736,1.0	-0.066
97	"ENSG00000225470.10"	"JPX"	chrX	+	73944326	73944662	73944326	73944465	73944583	73944662	97	2,4	70,48	3,3	98,72	267	149	0.615109152423	0.9927138369501315	0.016,0.044	0.017,0.023	0.01
98	"ENSG00000225470.10"	"JPX"	chrX	+	73944338	73944662	73944338	73944414	73944583	73944662	98	2,4	4,0	3,3	0,0	318	149	0.00549987176444	0.02859198433494289	0.19,1.0	1.0,1.0	-0.405
99	"ENSG00000225470.10"	"JPX"	chrX	+	73944338	73944662	73944338	73944462	73944583	73944662	99	2,4	1,0	3,3	0,0	270	149	1	1.0	0.525,1.0	1.0,1.0	-0.238
100	"ENSG00000225470.10"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	100	1,1	36,26	5,3	58,67	258	149	0.0976108541319	0.2776413482846374	0.016,0.022	0.047,0.025	-0.017
101	"ENSG00000225470.10"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669	101	70,27	1,0	75,69	2,0	283	149	0.465152294368	0.8422369359561572	0.974,1.0	0.952,1.0	0.011
