ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
161	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154441794	154441622	154441794	154439005	154439140
162	"ENSG00000196924.19"	"FLNA"	chrX	-	154350030	154351696	154350030	154350207	154351883	154352021
168	"ENSG00000147394.20"	"ZNF185"	chrX	+	152920706	152920748	152920709	152920748	152918982	152919081
182	"ENSG00000165359.16"	"INTS6L"	chrX	+	135581527	135582510	135582240	135582510	135581049	135581143
189	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620092	123620205
190	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620187	123620670
203	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103685170	103685260
205	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103685170	103685260
206	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585969	103586291	103586218	103586291	103585562	103585624
207	"ENSG00000133142.19"	"TCEAL4"	chrX	+	103585858	103586291	103586218	103586291	103585614	103585683
218	"ENSG00000196440.12"	"ARMCX4"	chrX	+	101486022	101486092	101486025	101486092	101445997	101446044
301	"ENSG00000235437.11"	"LINC01278"	chrX	-	63426557	63427072	63426557	63426996	63432382	63432491
312	"ENSG00000126012.14"	"KDM5C"	chrX	-	53198489	53198888	53198489	53198637	53198976	53199158
359	"ENSG00000215301.11"	"DDX3X"	chrX	+	41337407	41339083	41339035	41339083	41334161	41334297
363	"ENSG00000215301.11"	"DDX3X"	chrX	+	41343736	41344128	41344029	41344128	41341483	41342653
364	"ENSG00000215301.11"	"DDX3X"	chrX	+	41342736	41344128	41344029	41344128	41342494	41342653
369	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346228	41346622	41346504	41346622	41345403	41345548
371	"ENSG00000215301.11"	"DDX3X"	chrX	+	41346858	41347451	41347311	41347451	41346504	41346622
372	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347639	41349886	41346504	41346622
374	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347311	41349886	41347639	41349886	41346858	41347012
375	"ENSG00000215301.11"	"DDX3X"	chrX	+	41347639	41347915	41347859	41347915	41346858	41347012
377	"ENSG00000124486.15"	"USP9X"	chrX	+	41152932	41153081	41152947	41153081	41148368	41148575
388	"ENSG00000225882.2"	"LINC01456"	chrX	-	17971986	17972155	17971986	17972126	18025374	18025485
391	"ENSG00000169249.14"	"ZRSR2"	chrX	+	15799871	15799953	15799882	15799953	15790933	15791013
392	"ENSG00000169249.14"	"ZRSR2"	chrX	+	15799871	15799953	15799882	15799953	15796141	15796250
399	"ENSG00000046651.16"	"OFD1"	chrX	+	13752703	13753441	13753367	13753441	13749426	13749533
402	"ENSG00000046651.16"	"OFD1"	chrX	+	13767126	13768224	13768053	13768224	13763744	13763855
403	"ENSG00000176896.9"	"TCEANC"	chrX	+	13660865	13661122	13661027	13661122	13655288	13655373
404	"ENSG00000176896.9"	"TCEANC"	chrX	+	13660865	13661122	13661030	13661122	13655288	13655373
405	"ENSG00000176896.9"	"TCEANC"	chrX	+	13661027	13661122	13661030	13661122	13655288	13655373
427	"ENSG00000079974.19"	"RABL2B"	chr22	-	50769424	50769552	50769424	50769549	50775771	50775851
441	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157
448	"ENSG00000100429.18"	"HDAC10"	chr22	-	50248830	50248890	50248830	50248859	50249327	50249454
458	"ENSG00000186951.17"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970
460	"ENSG00000186951.17"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822
464	"ENSG00000226328.9"	"NUP50-DT"	chr22	-	45152404	45152623	45152404	45152449	45158059	45158185
475	"ENSG00000293485.2"	"SERHL"	chr22	+	42510630	42511927	42511815	42511927	42509027	42509110
480	"ENSG00000100417.12"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603
482	"ENSG00000100412.17"	"ACO2"	chr22	+	41517526	41517631	41517596	41517631	41515376	41515535
483	"ENSG00000100412.17"	"ACO2"	chr22	+	41517526	41517631	41517596	41517631	41515766	41515917
484	"ENSG00000100412.17"	"ACO2"	chr22	+	41517596	41518572	41518480	41518572	41515766	41515917
488	"ENSG00000100412.17"	"ACO2"	chr22	+	41522829	41523278	41523204	41523278	41517526	41517631
490	"ENSG00000100412.17"	"ACO2"	chr22	+	41527287	41528022	41527900	41528022	41526261	41526453
495	"ENSG00000239900.14"	"ADSL"	chr22	+	40349831	40353117	40353072	40353117	40346528	40346656
497	"ENSG00000239900.14"	"ADSL"	chr22	+	40361487	40363071	40362980	40363071	40361272	40361342
500	"ENSG00000100211.12"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38656955	38657143
503	"ENSG00000198792.13"	"TMEM184B"	chr22	-	38231243	38231399	38231243	38231334	38245934	38246100
504	"ENSG00000198792.13"	"TMEM184B"	chr22	-	38231243	38231399	38231243	38231334	38247769	38248019
508	"ENSG00000184381.20"	"PLA2G6"	chr22	-	38169217	38169471	38169217	38169467	38180324	38180404
512	"ENSG00000133466.14"	"C1QTNF6"	chr22	-	37182151	37182735	37182151	37182582	37185217	37185455
520	"ENSG00000100284.22"	"TOM1"	chr22	+	35322998	35323177	35323027	35323177	35317876	35317961
535	"ENSG00000241878.12"	"PISD"	chr22	-	31621333	31621885	31621333	31621472	31648100	31648276
537	"ENSG00000185133.15"	"INPP5J"	chr22	+	31124844	31126010	31125832	31126010	31124141	31124263
538	"ENSG00000185133.15"	"INPP5J"	chr22	+	31126293	31126489	31126375	31126489	31125832	31126010
578	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23640307	23640423	23640307	23640330	23651411	23651529
594	"ENSG00000228315.13"	"GUSBP11"	chr22	-	23640307	23640426	23640307	23640423	23683724	23683867
605	"ENSG00000100038.20"	"TOP3B"	chr22	-	21959131	21959736	21959131	21959232	21960320	21960449
606	"ENSG00000100038.20"	"TOP3B"	chr22	-	21962428	21962893	21962428	21962602	21963922	21964028
608	"ENSG00000100034.14"	"PPM1F"	chr22	-	21931147	21931291	21931147	21931248	21933390	21933579
623	"ENSG00000099942.13"	"CRKL"	chr22	+	20949710	20953747	20953205	20953747	20933778	20934244
624	"ENSG00000291085.2"	"TMEM191A"	chr22	+	20703005	20703122	20703008	20703122	20702843	20702893
625	"ENSG00000291085.2"	"TMEM191A"	chr22	+	20703005	20703122	20703044	20703122	20702843	20702893
626	"ENSG00000291085.2"	"TMEM191A"	chr22	+	20703008	20703122	20703044	20703122	20702843	20702893
627	"ENSG00000291085.2"	"TMEM191A"	chr22	+	20703632	20704040	20703967	20704040	20703380	20703524
631	"ENSG00000099899.16"	"TRMT2A"	chr22	-	20114964	20115780	20114964	20115079	20116037	20116612
636	"ENSG00000093010.15"	"COMT"	chr22	+	19962232	19962815	19962526	19962815	19961696	19961874
643	"ENSG00000100033.17"	"PRODH"	chr22	-	18921341	18922404	18921341	18921423	18922816	18922933
677	"ENSG00000157601.15"	"MX1"	chr21	+	41421837	41422095	41421974	41422095	41420609	41420817
685	"ENSG00000235123.6"	"DSCAM-AS1"	chr21	+	40383651	40384138	40384065	40384138	40383505	40383520
688	"ENSG00000205581.11"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348421	39348451
696	"ENSG00000185437.16"	"SH3BGR"	chr21	+	39462374	39462560	39462379	39462560	39452122	39452141
697	"ENSG00000185917.14"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
705	"ENSG00000154734.16"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840997	26841165
752	"ENSG00000197114.12"	"ZGPAT"	chr20	+	63734644	63734824	63734704	63734824	63733586	63733712
778	"ENSG00000101160.15"	"CTSZ"	chr20	-	58992761	58992841	58992761	58992821	58997602	58997753
803	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49279103	49279208	49279108	49279208	49278519	49278590
805	"ENSG00000177410.14"	"ZFAS1"	chr20	+	49279103	49279208	49279108	49279208	49278639	49278720
809	"ENSG00000124228.15"	"DDX27"	chr20	+	49243628	49244077	49243815	49244077	49242593	49242681
819	"ENSG00000101040.20"	"ZMYND8"	chr20	-	47298728	47298947	47298728	47298872	47347855	47347926
833	"ENSG00000101104.13"	"PABPC1L"	chr20	+	44933056	44933185	44933071	44933185	44932681	44932713
837	"ENSG00000101104.13"	"PABPC1L"	chr20	+	44938044	44938191	44938060	44938191	44936893	44936976
845	"ENSG00000196839.14"	"ADA"	chr20	-	44622828	44623078	44622828	44622930	44626455	44626599
874	"ENSG00000080845.19"	"DLGAP4"	chr20	+	36499587	36499676	36499602	36499676	36497446	36497602
