ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
145	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	45542	45769	38789	40872	63816	64019
153	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	45542	45769	63816	64019
162	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	45542	45769	95173	95232
163	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	46655	48142	88536	89058
169	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	92040	92100
170	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	63816	64019	95173	95232
313	"ENSG00000303853.1"	"ENSG00000303853"	chrGL000195.1	-	84056	84116	49960	50132	86517	86682
527	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155489010	155491666	155506897	155507134
528	"ENSG00000185973.12"	"TMLHE"	chrX	-	155506897	155507134	155492356	155492495	155511672	155511792
529	"ENSG00000185973.12"	"TMLHE"	chrX	-	155524455	155524632	155513985	155514265	155545095	155545277
536	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507202	154507329	154507810	154507861
539	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508288	154508347	154507679	154507861	154508473	154508597
543	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154508452	154508597	154512822	154512936
547	"ENSG00000071859.15"	"FAM50A"	chrX	+	154446414	154446560	154445811	154445911	154448483	154448560
548	"ENSG00000071859.15"	"FAM50A"	chrX	+	154448892	154448954	154448689	154448756	154449220	154449297
549	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449882	154449931	154449680	154449735	154450028	154450099
551	"ENSG00000203879.12"	"GDI1"	chrX	+	154438475	154438630	154437153	154437299	154439940	154439972
552	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154436912	154437299	154439940	154440139
553	"ENSG00000203879.12"	"GDI1"	chrX	+	154438522	154438630	154436912	154437299	154441622	154441794
554	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154438005	154438630	154439005	154439052
555	"ENSG00000203879.12"	"GDI1"	chrX	+	154438764	154438864	154438005	154438630	154439940	154439972
556	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438005	154438630	154439940	154439972
557	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438005	154438630	154441622	154441794
558	"ENSG00000203879.12"	"GDI1"	chrX	+	154439005	154439140	154438764	154438864	154439940	154439972
560	"ENSG00000203879.12"	"GDI1"	chrX	+	154439940	154440139	154437153	154437299	154441095	154441195
561	"ENSG00000203879.12"	"GDI1"	chrX	+	154440374	154440506	154439940	154440139	154441095	154441195
562	"ENSG00000203879.12"	"GDI1"	chrX	+	154441095	154441195	154437153	154437299	154441622	154441794
563	"ENSG00000203879.12"	"GDI1"	chrX	+	154442110	154442255	154440523	154441794	154442373	154442428
565	"ENSG00000196924.19"	"FLNA"	chrX	-	154349361	154349565	154348523	154349036	154349648	154349867
566	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154350030	154350207	154351580	154351696
567	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351696	154350030	154350207	154351883	154352021
568	"ENSG00000196924.19"	"FLNA"	chrX	-	154351580	154351696	154350030	154350207	154351883	154352021
569	"ENSG00000196924.19"	"FLNA"	chrX	-	154352180	154352447	154351727	154352021	154352771	154352924
572	"ENSG00000196924.19"	"FLNA"	chrX	-	154354615	154354711	154354380	154354483	154354824	154354889
574	"ENSG00000196924.19"	"FLNA"	chrX	-	154359989	154360587	154359731	154359905	154361307	154361570
575	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365135	154365259	154366023	154366224
576	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154365135	154365259	154366307	154366470
578	"ENSG00000196924.19"	"FLNA"	chrX	-	154365744	154366224	154365348	154365486	154366307	154366470
579	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365135	154365259	154366307	154366334
580	"ENSG00000196924.19"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366334
583	"ENSG00000102030.16"	"NAA10"	chrX	-	153933942	153934001	153932538	153932584	153934376	153934475
584	"ENSG00000102030.16"	"NAA10"	chrX	-	153933960	153934001	153932538	153932584	153934376	153934475
593	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786211	153786272	153785767	153785973	153786354	153786449
594	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153785766	153786449	153787050	153787153
595	"ENSG00000067829.20"	"IDH3G"	chrX	-	153786800	153786947	153785766	153786449	153787463	153787553
596	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153785766	153786449	153787463	153787553
597	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787050	153787153	153786800	153786947	153787463	153787553
598	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787463	153787597	153787050	153787153	153787822	153787955
599	"ENSG00000067829.20"	"IDH3G"	chrX	-	153787822	153787955	153787390	153787597	153788074	153788135
601	"ENSG00000067829.20"	"IDH3G"	chrX	-	153790563	153790575	153789837	153790292	153790809	153790851
602	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153690374	153690506	153687925	153688836	153691303	153691553
603	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153693040	153693175	153691974	153692107	153693262	153693366
604	"ENSG00000130821.17"	"SLC6A8"	chrX	+	153694129	153694267	153693904	153694017	153694343	153694420
607	"ENSG00000262919.8"	"CCNQ"	chrX	-	153592505	153592733	153587931	153588394	153594546	153594679
609	"ENSG00000262919.8"	"CCNQ"	chrX	-	153594546	153594679	153587931	153588394	153596003	153596063
612	"ENSG00000147394.20"	"ZNF185"	chrX	+	152915137	152915203	152914709	152914833	152917130	152917169
613	"ENSG00000147394.20"	"ZNF185"	chrX	+	152918064	152918154	152917284	152917362	152918982	152919081
615	"ENSG00000147394.20"	"ZNF185"	chrX	+	152920327	152920411	152918982	152919081	152920709	152920748
616	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152920706	152920748	152928574	152928661
617	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152920706	152920748	152931671	152931776
618	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152922172	152922256	152928574	152928661
620	"ENSG00000147394.20"	"ZNF185"	chrX	+	152928574	152928661	152920706	152920748	152931671	152931776
621	"ENSG00000147394.20"	"ZNF185"	chrX	+	152928574	152928661	152922172	152922256	152931671	152931776
623	"ENSG00000147394.20"	"ZNF185"	chrX	+	152932872	152932971	152931671	152931776	152936417	152936513
625	"ENSG00000147394.20"	"ZNF185"	chrX	+	152936417	152936513	152931671	152931776	152938073	152938163
627	"ENSG00000147394.20"	"ZNF185"	chrX	+	152938073	152938163	152932872	152932971	152945266	152945464
628	"ENSG00000147394.20"	"ZNF185"	chrX	+	152938073	152938163	152932872	152932971	152959698	152959841
629	"ENSG00000147394.20"	"ZNF185"	chrX	+	152945266	152945464	152932872	152932971	152959698	152959896
631	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959896	152945266	152945464	152963838	152963949
