"GeneID","GeneName","KO_vs_WT","KO1_vs_KO","KO2_vs_KO","KO3_vs_KO","KO4_vs_KO","KO1_vs_KO2","KO3_vs_KO4","KO1_vs_KO3","KO2_vs_KO4","M_vs_WT"
"ENSG00000000003.16","TSPAN6",0.373135863202574,-0.639283461036735,-0.248670328895617,-0.49109814581574,-0.34453932467354,-0.390613132141118,-0.1465588211422,-0.148185315220995,0.0958689957779234,0.150144919570409
"ENSG00000000419.14","DPM1",0.323459763944329,-0.373366975791634,-0.376017547530308,-0.268950252637311,-0.216760356340475,0.00265057173867444,-0.052189896296836,-0.104416723154323,-0.159257191189833,0.0740642916072784
"ENSG00000000457.14","SCYL3",0.322412783475583,0.0323845610167516,0.0559098591784755,0.130405213448618,0.155355526457354,-0.0235252981617239,-0.0249503130087362,-0.0980206524318664,-0.0994456672788787,0.0124057676913675
"ENSG00000000460.17","FIRRM",0.0171450131865804,-0.567117412190878,-0.523857066188492,-0.585438857963145,-0.503307092387513,-0.0432603460023863,-0.082131765575632,0.0183214457722669,-0.0205499738009788,0.0970976766122459
"ENSG00000000938.13","FGR",-0.791178640972751,4.84865764226187,5.60490248174235,5.02936878848271,4.66594712627167,-0.756244839480474,0.363421662211039,-0.180711146220835,0.938955355470678,-1.45858072617791
"ENSG00000001036.14","FUCA2",0.527514803771381,-0.165144857019888,-0.107054345638288,-0.103923552514616,-0.0108416633501916,-0.0580905113815994,-0.0930818891644239,-0.0612213045052721,-0.0962126822880966,0.0708041352009962
"ENSG00000001084.13","GCLC",0.26826152935851,-0.306269677957341,-0.259018477271549,-0.251976512989423,-0.193553797054921,-0.0472512006857916,-0.0584227159345015,-0.0542931649679179,-0.0654646802166278,0.0626125089835702
"ENSG00000001167.15","NFYA",0.11720978250356,0.281336708318226,0.117115156938569,0.295437390370603,0.29548008484394,0.164221551379656,-4.26944733377313e-05,-0.0141006820523769,-0.178364927905371,0.0151970436171713
"ENSG00000001460.18","STPG1",0.106263925136308,0.583426591789894,0.465289810239111,0.466878173092162,0.500579773481624,0.118136781550783,-0.0337016003894626,0.116548418697732,-0.0352899632425135,0.0437177113643374
"ENSG00000001461.19","NIPAL3",0.324232130447122,-0.478229893677303,-0.376236092726981,-0.390871065389924,-0.48368330105029,-0.101993800950322,0.0928122356603668,-0.0873588282873796,0.107447208323309,0.034901743883821
"ENSG00000001497.18","LAS1L",-0.018468770131241,-0.318703523691941,-0.312665979752351,-0.238360513860223,-0.224729632007155,-0.00603754393959,-0.0136308818530682,-0.0803430098317174,-0.0879363477451956,-0.0318323762609937
"ENSG00000001561.7","ENPP4",0.191489246206884,-0.223085706972066,-0.348268976428824,-0.038677020293426,-0.0655446980548975,0.125183269456759,0.0268676777614715,-0.18440868667864,-0.282724278373927,-0.0477131696150571
"ENSG00000001617.12","SEMA3F",-0.16826439520293,-0.165496926741798,0.0798215993076458,-0.227909235207069,-0.224300623302428,-0.245318526049443,-0.003608611904641,0.0624123084652716,0.304122222610074,-0.14414548608095
"ENSG00000001626.18","CFTR",-0.283543500917168,-0.522341355718317,1.12620111684702,0.316152420140022,0.568154431602924,-1.64854247256533,-0.252002011462903,-0.838493775858338,0.558046685244091,-0.190566550734234
"ENSG00000001629.10","ANKIB1",0.558304241593111,-0.30942805241673,-0.382816014919516,-0.248162159987468,-0.242547174152131,0.0733879625027856,-0.00561498583533683,-0.0612658924292625,-0.140268840767385,0.0447601320439617
"ENSG00000001630.18","CYP51A1",-0.204992324504657,0.834287119415168,1.61741634268455,0.569017825112725,0.593413202038945,-0.783129223269386,-0.0243953769262198,0.265269294302443,1.02400314064561,-1.56860516833803
"ENSG00000001631.17","KRIT1",0.070737655395135,-0.00792411316788831,-0.00641428083314104,0.181967765431148,-0.00027649407768805,-0.00150983233474728,0.182244259508836,-0.189891878599036,-0.00613778675545299,0.195860258998545
"ENSG00000002016.18","RAD52",-0.465084887811583,0.187122457761415,0.164293192627776,0.245420403119023,0.169206086947676,0.0228292651336382,0.0762143161713472,-0.0582979453576086,-0.00491289431989954,0.0362124945436091
"ENSG00000002330.14","BAD",-0.895051101305392,0.983773258944918,1.80773459976304,0.670545945070583,0.37525520629287,-0.823961340818127,0.295290738777713,0.313227313874334,1.43247939347017,-0.129076864288319
"ENSG00000002549.13","LAP3",0.0969123200739124,0.69159627362186,0.953548658910317,0.759793432091845,0.783276007845618,-0.261952385288457,-0.0234825757537734,-0.0681971584699843,0.170272651064699,-0.00885675692245016
"ENSG00000002587.10","HS3ST1",-0.581438232663979,2.35517894217617,2.30606738810727,2.44028600344915,2.3010870794346,0.0491115540688982,0.139198924014545,-0.0851070612729745,0.00498030867267246,0.0896862444327172
"ENSG00000002745.13","WNT16",1.13056967926284,1.24714461049678,-1.55013270299834,0.498118048804263,0.723822676684208,2.79727731349511,-0.225704627879945,0.749026561692516,-2.27395537968254,0.530558164323114
